movieId,title,genres
356,Forrest Gump (1994),Comedy|Drama|Romance|War
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
318,"Shawshank Redemption, The (1994)",Crime|Drama
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
110,Braveheart (1995),Action|Drama|War
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2858,American Beauty (1999),Comedy|Drama
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
527,Schindler's List (1993),Drama|War
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
457,"Fugitive, The (1993)",Thriller
608,Fargo (1996),Comedy|Crime|Drama|Thriller
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
2028,Saving Private Ryan (1998),Action|Drama|War
2959,Fight Club (1999),Action|Crime|Drama|Thriller
1265,Groundhog Day (1993),Comedy|Fantasy|Romance
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
858,"Godfather, The (1972)",Crime|Drama
377,Speed (1994),Action|Romance|Thriller
150,Apollo 13 (1995),Adventure|Drama|IMAX
592,Batman (1989),Action|Crime|Thriller
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
3578,Gladiator (2000),Action|Adventure|Drama
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1721,Titanic (1997),Drama|Romance
1036,Die Hard (1988),Action|Crime|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
541,Blade Runner (1982),Action|Sci-Fi|Thriller
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
1214,Alien (1979),Horror|Sci-Fi
